"","x"
"975",83.00919342
"976",81.78968811
"977",83.64505005
"978",82.55044556
"979",89.12861633
"980",87.88082886
"981",83.35279083
"982",87.69772339
"983",93.67219543
"984",94.37768555
"985",102.0050659
"986",103.1567459
"987",92.30740356
"988",92.76174927
"989",91.44303894
"990",94.51708984
"991",98.64337158
"992",97.76126099
"993",97.22127533
"994",100.0907822
"995",103.7896881
"996",106.7724304
"997",107.5701752
"998",105.1185684
"999",95.82316589
"1000",94.41162872
"1001",93.25666809
"1002",91.96019745
"1003",96.66773224
"1004",99.05145264
"1005",98.72318268
"1006",100.6726227
"1007",101.1141129
"1008",100.5167007
"1009",105.2485199
"1010",108.8675537
"1011",103.4978714
"1012",101.1501846
"1013",103.4308624
"1014",106.940567
"1015",110.2788086
"1016",112.5332031
"1017",113.7337036
"1018",115.8255539
"1019",113.1438904
"1020",109.8950424
"1021",92.07740021
"1022",68.74337769
"1023",56.87361145
"1024",56.0556221
"1025",60.10341644
"1026",65.81934357
"1027",65.74040985
"1028",30.08104515
"1029",29.29628372
"1030",35.86123657
"1031",36.20870209
"1032",36.23212433
"1033",34.20930481
"1034",35.40994263
"1035",36.59349823
"1036",37.89330292
"1037",37.64700317
"1038",39.11575699
"1039",39.83006668
"1040",39.27974701
"1041",39.30847549
"1042",40.01996994
"1043",39.92556763
"1044",38.675354
"1045",39.45776367
"1046",38.57506943
"1047",37.57191467
"1048",38.2233696
"1049",39.7648735
"1050",42.68556595
"1051",43.48995209
"1052",44.25691223
"1053",46.65542603
"1054",45.50508118
"1055",46.71476364
"1056",47.44943619
"1057",46.99459457
"1058",49.78932953
"1059",50.85286331
"1060",54.75831223
"1061",55.13217545
"1062",56.7211113
"1063",56.8018837
"1064",61.49310684
"1065",60.76113892
"1066",59.67269135
"1067",58.98368454
"1068",58.5496254
"1069",60.02684402
"1070",62.16869736
"1071",65.05490875
"1072",64.09736633
"1073",66.67971802
"1074",66.48571777
"1075",66.75429535
"1076",70.42918396
"1077",72.13240051
"1078",73.46466064
"1079",70.8997879
"1080",68.506816865
"1081",68.506816865
"1082",66.11384583
"1083",76.36927795
"1084",67.18854523
"1085",76.02536774
"1086",74.68418121
"1087",73.85955048
"1088",73.55404663
"1089",76.89592743
"1090",78.34523773
"1091",71.59249878
"1092",53.128362655
"1093",34.66422653
"1094",36.6584053
"1095",37.94291687
"1096",41.08998108
"1097",42.26753998
"1098",46.33756256
"1099",47.6218071
"1100",48.94382477
"1101",52.38910294
"1102",51.56393051
"1103",51.36177444
"1104",42.07607269
"1105",39.04615402
"1106",38.15319061
"1107",35.87690353
"1108",34.62865448
"1109",35.76688004
"1110",33.94758224
"1111",33.63180542
"1112",32.89850616
"1113",33.745224
"1114",36.44598389
"1115",38.04046249
"1116",41.19997025
"1117",41.65129089
"1118",41.01504135
"1119",43.28922653
"1120",41.95504761
"1121",42.77773666
"1122",38.63169479
"1123",40.23485947
"1124",42.94178391
"1125",42.4018364
"1126",43.34633636
"1127",42.70669174
"1128",45.36795044
"1129",44.15865707
"1130",45.48921204
"1131",45.03055954
"1132",45.89823151
"1133",48.60353851
"1134",49.05088806
"1135",53.63143921
"1136",60.60317612
"1137",62.82065964
"1138",65.17286682
"1139",64.84190369
"1140",66.2651062
"1141",65.51342773
"1142",65.02557373
"1143",66.9453125
"1144",68.35205841
"1145",71.58041382
"1146",70.37689209
"1147",73.71016693
"1148",74.82059479
"1149",77.71217346
"1150",79.98698425
"1151",79.1533432
"1152",79.86167145
"1153",80.91408539
"1154",81.17237854
"1155",82.28092194
